#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_aircon,80x0C_park_neutral_switch,80x0F_idle_set_point,80x10_idle_hot,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,coolant_sensor_fault,air_intake_sensor_fault,fuel_pump_circuit_fault,throttle_pot_fault,0x80_raw,7dx01_ignition_switch,7dx02_throttle_angle,7dx04_air_fuel_ratio,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0F_idle_base_pos,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx1F_jack_count,0x7d_raw
2023-02-23 09:48:24.759,250,24,200,24,200,100,10.1,1.12,0,false,true,0,38,137,768,0,4,8.17,16,false,false,false,false,801C00FA4FFF4FFF64653810000100000026888903A200380FF3100000,true,49.8,12.8,440,255,255,1,false,0,0,0,117,0,128,6,7D201053FF800058FFFF0100806400FF75FFFF30807C62FF16401AC022402FC006
2023-02-23 09:48:25.402,245,24,200,24,200,99,10,0.76,0,false,true,0,38,137,768,0,4,8.27,16,false,false,false,false,801C00F54FFF4FFF63642600000100000026888903A200381025100000,true,40.8,12.8,440,255,255,1,false,0,0,0,116,0,128,6,7D201044FF800058FFFF0100806400FF74FFFF30807C5EFF16401AC022402FC006
2023-02-23 09:48:26.097,245,25,200,24,200,101,10,2.66,0,false,true,0,38,137,768,0,4,8.27,16,false,false,false,false,801C00F550FF4FFF656485100001000000268889039E00381025100000,true,21.6,12.8,440,255,255,1,false,0,0,0,116,0,128,6,7D201024FF800058FFFF0100806400FF74FFFF30807C5FFF16401AC022402FC006
2023-02-23 09:48:26.710,241,25,200,24,200,92,10,0.76,0,false,true,0,38,137,768,0,4,8.27,16,false,false,false,false,801C00F150FF4FFF5C642600000100000026888903AA00381025100000,true,13.8,14.6,440,255,255,1,false,0,0,0,116,0,128,6,7D201017FF920058FFFF0100806400FF74FFFF30807C57FF16401AC022402FC006
2023-02-23 09:48:27.340,0,25,200,24,200,97,10.3,0.76,0,false,true,0,38,137,1024,0,4,7.87,0,false,false,false,false,801C000050FF4FFF616726000001000000268889049700380F5E000000,true,13.8,14.6,440,255,255,1,false,0,0,0,116,0,128,6,7D201017FF920058FFFF0100806400FF74FFFF30807B69FF16401AC022402FC006
2023-02-23 09:48:27.947,0,25,200,24,200,101,10.7,0.76,0,false,true,0,38,137,1024,0,4,7.67,0,false,false,false,false,801C000050FF4FFF656B26000001000000268889049700380EFA000000,true,13.8,14.6,440,255,255,1,false,0,0,0,116,0,128,6,7D201017FF920058FFFF0100806400FF74FFFF30807B69FF16401AC022402FC006
2023-02-23 09:48:28.539,231,25,200,24,200,94,10.5,0.76,0,false,true,0,38,137,768,0,4,7.77,16,false,false,false,false,801C00E750FF4FFF5E692600000100000026888903A700380F2C100000,true,13.8,14.6,440,255,255,1,false,0,0,0,116,0,128,6,7D201017FF920058FFFF0100806400FF74FFFF30807C59FF16401AC022402FC006
2023-02-23 09:48:29.157,238,25,200,24,200,100,10.3,1.44,0,false,true,0,38,137,768,0,4,7.97,16,false,false,false,false,801C00EE50FF4FFF64674810000100000026888903AA00380F90100000,true,14.4,14.6,440,255,255,1,false,0,0,0,116,0,128,6,7D201018FF920058FFFF0100806400FF74FFFF30807C54FF16401AC022402FC006
2023-02-23 09:48:29.760,232,25,200,24,200,92,10.2,0.76,0,false,true,0,38,137,768,0,4,8.07,16,false,false,false,false,801C00E850FF4FFF5C662600000100000026888903AD00380FC2100000,true,14.4,12.8,435,255,255,1,false,0,0,0,116,0,128,6,7D201018FF800057FFFF0100806400FF74FFFF30807C51FF16401AC022402FC006
2023-02-23 09:48:30.358,234,25,200,24,200,100,10.1,2.74,0,false,true,0,38,137,768,0,4,8.17,16,false,false,false,false,801C00EA50FF4FFF64658910000100000026888903AD00380FF3100000,true,77.4,12.8,440,255,255,1,false,0,0,0,116,0,128,6,7D201081FF800058FFFF0100806400FF74FFFF30807C52FF16401AC022402FC006
2023-02-23 09:48:30.949,236,26,200,24,200,100,10.1,2.34,0,false,true,0,38,137,768,0,4,8.17,16,false,false,false,false,801C00EC51FF4FFF64657510000100000026888903AF00380FF3100000,true,77.4,12.8,440,255,255,1,false,0,0,0,116,0,128,6,7D201081FF800058FFFF0100806400FF74FFFF30807C53FF16401AC022402FC006
2023-02-23 09:48:31.557,233,26,200,24,200,92,10,0.76,0,false,true,0,38,137,768,0,4,8.27,16,false,false,false,false,801C00E951FF4FFF5C642600000100000026888903B000381025100000,true,13.8,14.6,440,255,255,1,false,0,0,0,116,0,128,6,7D201017FF920058FFFF0100806400FF74FFFF30807C52FF16401AC022402FC006
2023-02-23 09:48:32.145,228,26,200,24,200,99,10,0.76,0,false,true,0,38,137,768,0,4,8.27,16,false,false,false,false,801C00E451FF4FFF63642600000100000026888903B100381025100000,true,13.8,14.6,440,255,255,1,false,0,0,0,112,0,128,6,7D201017FF920058FFFF0100806400FF70FFFF30807D7DFF16401AC022402FC006
2023-02-23 09:48:32.780,999,26,200,24,200,66,10,0.76,0,false,true,0,38,137,0,0,12,3.73,16,false,false,false,false,801C03E751FF4FFF426426000001000000268889003B0048074A100000,true,15.6,14.6,440,255,255,1,false,0,0,0,112,0,128,6,7D20101AFF920058FFFF0100806400FF70FFFF308080F2FF16401AC022402FC006
2023-02-23 09:48:33.424,1370,26,200,24,200,92,10.4,1.48,0,false,true,0,38,126,0,0,10.5,3.2,16,false,false,false,false,801C055A51FF4FFF5C684A10000100000026887E001E0045063E100000,true,13.8,14.6,440,255,255,1,false,0,0,0,112,0,128,6,7D201017FF920058FFFF0100806400FF70FFFF30807FA3FF16401AC022402FC006
2023-02-23 09:48:34.084,1587,26,200,24,200,45,10.7,0.76,0,false,true,0,38,123,256,0,14,3.14,16,false,false,false,false,801C063351FF4FFF2D6B2610000100000026887B010D004C0622100000,true,12,14.6,440,255,255,1,false,0,0,0,112,0,128,6,7D201014FF920058FFFF0100806400FF70FFFF3080803FFF16401AC022402FC006
2023-02-23 09:48:34.787,1521,26,200,24,200,70,11,1.08,0,false,true,0,38,112,512,0,20.5,3,16,false,false,false,false,801C05F151FF4FFF466E3610000100000026887002A5005905DC100000,true,17.4,14.6,440,255,255,1,false,0,0,0,112,0,128,6,7D20101DFF920058FFFF0100806400FF70FFFF3080835AFF16401AC022402FC006
2023-02-23 09:48:35.459,1881,26,200,24,200,43,11.4,0.86,0,false,true,0,38,112,512,0,29.5,2.94,16,false,false,false,false,801C075951FF4FFF2B722B10000100000026887002AB006B05BE100000,true,16.2,14.6,440,255,255,1,false,0,0,0,112,0,128,6,7D20101BFF920058FFFF0100806400FF70FFFF308082BAFF16401AC022402FC006
2023-02-23 09:48:36.117,1858,26,200,24,200,44,11.7,0.86,0,false,true,0,38,112,512,0,29.5,2.87,16,false,false,false,false,801C074251FF4FFF2C752B10000100000026887002B4006B059A100000,true,16.2,14.6,440,255,255,1,false,0,0,0,112,0,128,6,7D20101BFF920058FFFF0100806400FF70FFFF308082C1FF16401AC022402FC006
2023-02-23 09:48:36.786,1916,26,200,24,200,43,11.9,0.86,0,false,true,0,38,112,512,0,30,2.81,16,false,false,false,false,801C077C51FF4FFF2B772B10000100000026887002E6006C057C100000,true,16.2,14.6,440,255,255,1,false,0,0,0,112,0,128,6,7D20101BFF920058FFFF0100806400FF70FFFF3080830EFF16401AC022402FC006
2023-02-23 09:48:37.411,1984,27,200,24,200,42,12.2,0.86,0,false,true,0,38,111,768,0,31,2.78,16,false,false,false,false,801C07C052FF4FFF2A7A2B10000100000026886F033C006E056D100000,true,16.2,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D20101BFF920058FFFF0100806400FF6FFFFF30808364FF16401AC022402FC006
2023-02-23 09:48:38.129,2066,27,200,24,200,41,12.4,0.86,0,false,true,0,38,111,768,0,32,2.76,16,false,false,false,false,801C081252FF4FFF297C2B10000100000026886F038400700562100000,true,16.2,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D20101BFF920058FFFF0100806400FF6FFFFF3080838EFF16401AC022402FC006
2023-02-23 09:48:38.785,2075,27,200,24,200,39,12.5,0.84,0,false,true,0,38,111,768,0,31.5,2.74,16,false,false,false,false,801C081B52FF4FFF277D2A10000100000026886F0384006F055C100000,true,15,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201019FF920058FFFF0100806400FF6FFFFF30808354FF16401AC022402FC006
2023-02-23 09:48:39.777,1977,27,200,24,200,38,12.7,0.82,0,false,true,0,38,111,768,0,31.5,2.73,16,false,false,false,false,801C07B952FF4FFF267F2910000100000026886F0321006F0553100000,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,
2023-02-23 09:48:39.425,2000,27,200,24,200,38,12.7,0.82,0,false,true,0,38,111,768,0,31,2.73,16,false,false,false,false,801C07D052FF4FFF267F2910000100000026886F032E006E0557100000,true,15,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201019FF920058FFFF0100806400FF6FFFFF30808329FF16401AC022402FC006
2023-02-23 09:48:40.480,1979,27,200,24,200,38,12.8,0.82,0,false,true,0,38,111,768,0,31.5,2.73,16,false,false,false,false,801C07BB52FF4FFF26802910000100000026886F032E006F0555100000,true,15,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201019FF920058FFFF0100806400FF6FFFFF30808331FF16401AC022402FC006
2023-02-23 09:48:41.184,2005,27,200,24,200,37,12.9,0.82,0,false,true,0,38,111,768,0,31,2.71,16,false,false,false,false,801C07D552FF4FFF25812910000100000026886F0339006E0549100000,true,15,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201019FF920058FFFF0100806400FF6FFFFF3080833AFF16401AC022402FC006
2023-02-23 09:48:41.887,2010,27,200,24,200,38,13,0.82,0,false,true,0,38,111,768,0,31,2.71,16,false,false,false,false,801C07DA52FF4FFF26822910000100000026886F0350006E054B100000,true,15,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201019FF920058FFFF0100806400FF6FFFFF30808357FF16401AC022402FC006
2023-02-23 09:48:42.591,2033,27,200,24,200,37,13,0.82,0,false,true,0,38,111,768,0,31,2.7,16,false,false,false,false,801C07F152FF4FFF25822910000100000026886F0362006E0546100000,true,15,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201019FF920058FFFF0100806400FF6FFFFF3080836CFF16401AC022402FC006
2023-02-23 09:48:43.287,2051,27,200,24,200,37,13.1,0.8,0,false,true,0,38,111,768,0,30.5,2.7,16,false,false,false,false,801C080352FF4FFF25832810000100000026886F0364006D0548100000,true,15,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201019FF920058FFFF0100806400FF6FFFFF30808366FF16401AC022402FC006
2023-02-23 09:48:43.990,2048,27,200,24,200,37,13.1,0.8,0,false,true,0,38,111,768,0,30.5,2.69,16,false,false,false,false,801C080052FF4FFF25832810000100000026886F0364006D0543100000,true,15,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201019FF920058FFFF0100806400FF6FFFFF3080835AFF16401AC022402FC006
2023-02-23 09:48:44.630,2051,27,200,24,200,36,13.2,0.8,0,false,true,0,38,111,768,0,30.5,2.68,16,false,false,false,false,801C080352FF4FFF24842810000100000026886F0364006D053D100000,true,15,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201019FF920058FFFF0100806400FF6FFFFF3080836AFF16401AC022402FC006
2023-02-23 09:48:45.302,2046,27,200,24,200,36,13.2,0.8,0,false,true,0,38,111,768,0,30.5,2.69,16,false,false,false,false,801C07FE52FF4FFF24842810000100000026886F0331006D0541100000,true,15,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201019FF920058FFFF0100806400FF6FFFFF30808347FF16401AC022402FC006
2023-02-23 09:48:46.038,2002,27,200,24,200,36,13.2,0.78,0,false,true,0,38,111,768,0,30,2.69,16,false,false,false,false,801C07D252FF4FFF24842710000100000026886F0332006C0540100000,true,13.8,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201017FF920058FFFF0100806400FF6FFFFF308082B0FF16401AC022402FC006
2023-02-23 09:48:46.782,1601,27,200,24,200,34,13.3,0.68,0,false,true,0,38,111,256,0,11.5,2.68,16,false,false,false,false,801C064152FF4FFF22852200000100000026886F016A0047053B100000,true,11.4,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201013FF920058FFFF0100806400FF6FFFFF30808069FF16401AC022402FC006
2023-02-23 09:48:47.445,1220,27,200,24,200,39,13.3,0.64,0,false,true,0,38,111,0,0,18,2.69,16,false,false,false,false,801C04C452FF4FFF27852000000100000026886F004B00540542100000,true,10.8,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201012FF920058FFFF0100806400FF6FFFFF30808033FF16401AC022402FC006
2023-02-23 09:48:48.052,1199,27,200,24,200,39,13.3,0.64,0,false,true,0,38,111,0,0,12,2.7,16,false,false,false,false,801C04AF52FF4FFF27852000000100000026886F002800480544100000,true,10.8,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201012FF920058FFFF0100806400FF6FFFFF30807FCEFF16401AC022402FC006
2023-02-23 09:48:48.783,1195,27,200,25,200,42,13.3,0.66,0,false,true,0,38,115,0,0,18.5,2.69,16,false,false,false,false,801C04AB52FF50FF2A8521000001000000268873002800550541100000,true,11.4,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201013FF920058FFFF0100806400FF6FFFFF30807FF5FF16401AC022402FC006
2023-02-23 09:48:49.441,1232,28,200,24,200,41,13.3,0.66,0,false,true,0,38,115,0,0,21.5,2.68,16,false,false,false,false,801C04D053FF4FFF298521000001000000268873000D005B053E100000,true,11.4,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201013FF920058FFFF0100806400FF6FFFFF30808015FF16401AC022402FC006
2023-02-23 09:48:50.082,1208,28,200,24,200,41,13.3,0.66,0,false,true,0,38,115,0,0,10,2.7,16,false,false,false,false,801C04B853FF4FFF298521000001000000268873001A00440548100000,true,11.4,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201013FF920058FFFF0100806400FF6FFFFF30808014FF16401AC022402FC006
2023-02-23 09:48:50.783,1186,28,200,25,200,42,13.3,0.66,0,false,true,0,38,114,0,0,11,2.68,16,false,false,false,false,801C04A253FF50FF2A852100000100000026887200160046053E100000,true,11.4,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201013FF920458FFFF0100806400FF6FFFFF30807FE2FF16401AC022402FC006
2023-02-23 09:48:51.466,1213,28,200,24,200,41,13.3,0.66,0,false,true,0,38,114,0,0,10,2.67,16,false,false,false,false,801C04BD53FF4FFF298521000001000000268872002200440538100000,true,11.4,14.6,440,255,255,1,false,0,0,0,111,0,128,6,7D201013FF920058FFFF0100806400FF6FFFFF30807F98FF16401AC022402FC006
2023-02-23 09:48:52.167,1186,28,200,25,200,43,13.4,0.66,0,false,true,0,38,117,0,0,10,2.67,16,false,false,false,false,801C04A253FF50FF2B8621000001000000268875002100440538100000,true,11.4,14.6,440,255,255,1,false,0,0,0,110,0,128,6,7D201013FF920058FFFF0100806400FF6EFFFF30808009FF16401AC022402FC006
2023-02-23 09:48:52.819,1220,28,200,25,200,42,13.4,0.66,0,false,true,0,38,117,0,0,11.5,2.69,16,false,false,false,false,801C04C453FF50FF2A8621000001000000268875000100470543100000,true,11.4,14.6,440,255,255,1,false,0,0,0,110,0,128,6,7D201013FF920058FFFF0100806400FF6EFFFF3080801CFF16401AC022402FC006
2023-02-23 09:48:53.462,1206,28,200,25,200,41,13.4,0.66,0,false,true,0,38,114,0,0,10,2.67,16,false,false,false,false,801C04B653FF50FF29862100000100000026887200A600440538100000,true,11.4,14.6,440,255,255,1,false,0,0,0,110,0,128,6,7D201013FF920058FFFF0100806400FF6EFFFF30807FE3FF16401AC022402FC006
2023-02-23 09:48:54.109,1112,28,200,25,200,43,13.4,0.66,0,false,true,0,38,118,0,0,21.5,2.7,16,false,false,false,false,801C045853FF50FF2B86210000010000002688760051005B0544100000,true,12,14.6,440,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920058FFFF0100806400FF6EFFFF30807FD5FF16401AC022402FC006
2023-02-23 09:48:54.767,1225,28,200,25,200,42,13.4,0.68,0,false,true,0,38,118,0,0,10,2.68,16,false,false,false,false,801C04C953FF50FF2A8622000001000000268876001D0044053E100000,true,12,14.6,440,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920058FFFF0100806400FF6EFFFF3080801DFF16401AC022402FC006
2023-02-23 09:48:55.389,1111,28,200,25,200,45,13.4,0.68,0,false,true,0,38,119,0,0,10.5,2.67,16,false,false,false,false,801C045753FF50FF2D8622000001000000268877001C00450536100000,true,12,14.6,440,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920058FFFF0100806400FF6EFFFF3080801BFF16401AC022402FC006
2023-02-23 09:48:56.064,1176,28,200,25,200,44,13.4,0.68,0,false,true,0,38,120,0,0,14,2.68,16,false,false,false,false,801C049853FF50FF2C86220000010000002688780008004C053E100000,true,12,14.6,440,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920058FFFF0100806400FF6EFFFF3080801CFF16401AC022402FC006
2023-02-23 09:48:56.673,1155,28,200,25,200,45,13.4,0.68,0,false,true,0,38,122,0,0,15.5,2.68,16,false,false,false,false,801C048353FF50FF2D862200000100000026887A0012004F053B100000,true,12,14.6,440,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920058FFFF0100806400FF6EFFFF30808022FF16401AC022402FC006
2023-02-23 09:48:57.365,1082,28,200,25,200,49,13.4,0.7,0,false,true,0,38,127,0,0,9,2.65,16,false,false,false,false,801C043A53FF50FF31862300000100000026887F001F0042052D100000,true,12,14.6,440,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920058FFFF0100806400FF6EFFFF30808033FF16401AC022402FC006
2023-02-23 09:48:58.091,1245,28,200,25,200,47,13.4,0.7,0,false,true,0,38,126,0,0,10.5,2.69,16,false,false,false,false,801C04DD53FF50FF2F862300000100000026887E005000450542100000,true,12,14.6,445,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920059FFFF0100806400FF6EFFFF3080802EFF16401AC022402FC006
2023-02-23 09:48:58.775,1229,28,200,25,200,44,13.4,0.68,0,false,true,0,38,121,0,0,8.5,2.67,16,false,false,false,false,801C04CD53FF50FF2C8622000001000000268879003900410537100000,true,12,14.6,445,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920059FFFF0100806400FF6EFFFF3080802FFF16401AC022402FC006
2023-02-23 09:48:59.376,1042,29,200,25,200,50,13.4,0.7,0,false,true,0,38,125,0,0,22,2.69,16,false,false,false,false,801C041254FF50FF32862300000100000026887D005C005C0541100000,true,12,14.6,445,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920059FFFF0100806400FF6EFFFF30807F96FF16401AC022402FC006
2023-02-23 09:49:00.058,1167,29,200,25,200,48,13.4,0.7,0,false,true,0,38,126,0,0,11.5,2.69,16,false,false,false,false,801C048F54FF50FF30862300000100000026887E004100470542100000,true,12,14.6,445,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920059FFFF0100806400FF6EFFFF30808017FF16401AC022402FC006
2023-02-23 09:49:00.700,1187,29,200,25,200,48,13.4,0.7,0,false,true,0,38,125,0,0,10,2.67,16,false,false,false,false,801C04A354FF50FF30862300000100000026887D002700440536100000,true,12,14.6,445,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920059FFFF0100806400FF6EFFFF30807FE5FF16401AC022402FC006
2023-02-23 09:49:01.376,1200,30,200,25,200,48,13.4,0.7,0,false,true,0,38,126,0,64,18,2.68,16,false,false,false,false,801C04B055FF50FF30862300000100000026887E00234054053E100000,true,12,14.6,445,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920059FFFF0100806400FF6EFFFF30808019FF16401AC022402FC006
2023-02-23 09:49:02.005,1105,29,200,25,200,50,13.4,0.7,0,false,true,0,38,128,0,0,22,2.68,16,false,false,false,false,801C045154FF50FF328623000001000000268880008E005C053C100000,true,12,14.6,445,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920059FFFF0100806400FF6EFFFF30807FDBFF16401AC022402FC006
2023-02-23 09:49:02.688,1077,29,200,25,200,50,13.5,0.7,0,false,true,0,38,128,0,0,18.5,2.7,16,false,false,false,false,801C043554FF50FF328723000001000000268880002500550546100000,true,12,14.6,445,255,255,1,false,16,0,0,110,0,128,6,7D201014FF920059FFFF0100906400FF6EFFFF30807FEBFF16401AC022402FC006
2023-02-23 09:49:03.382,1042,29,200,25,200,51,13.4,0.7,0,false,true,0,38,128,0,0,22,2.68,16,false,false,false,false,801C041254FF50FF338623000001000000268880007D005C053B100000,true,12,14.6,445,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920059FFFF0100806400FF6EFFFF3080806CFF16401AC022402FC006
2023-02-23 09:49:04.096,1103,29,200,25,200,49,13.4,0.7,0,false,true,0,38,127,0,0,7.5,2.67,16,false,false,false,false,801C044F54FF50FF31862300000100000026887F0032003F0535100000,true,12,14.6,445,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920059FFFF0100806400FF6EFFFF30807F5DFF16401AC022402FC006
2023-02-23 09:49:04.990,1160,29,200,25,200,51,13.4,0.7,0,false,true,0,38,128,0,0,11.5,2.66,16,false,false,false,false,801C048854FF50FF338623000001000000268880000F00470532100000,true,88.8,14.6,445,255,255,1,false,0,0,0,110,0,128,6,7D201094FF920059FFFF0100806400FF6EFFFF30807FEEFF16401AC022402FC006
2023-02-23 09:49:05.680,1096,30,200,25,200,49,13.4,0.7,0,false,true,0,38,128,0,0,12,2.67,16,false,false,false,false,801C044855FF50FF318623000001000000268880000200480536100000,true,12,14.6,445,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920059FFFF0100806400FF6EFFFF30808008FF16401AC022402FC006
2023-02-23 09:49:06.398,1167,30,200,25,200,47,13.4,0.7,0,false,true,0,38,124,0,0,12,2.66,16,false,false,false,false,801C048F55FF50FF2F862300000100000026887C000000480531100000,true,12,14.6,445,255,255,1,false,0,0,0,110,0,128,6,7D201014FF920059FFFF0100806400FF6EFFFF30807FECFF16401AC022402FC006
