#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_uk1,80x0C_park_neutral_switch,80x0D-0E_fault_codes,80x0F_idle_set_point,80x10_idle_hot,80x11_uk2,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,80x1A_uk4,80x1B_uk5,7dx01_ignition_switch,7dx02_throttle_angle,7dx03_uk6,7dx04_air_fuel_ratio,7dx05_dtc2,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0E_dtc3,7dx0F_idle_base_pos,7dx10_uk7,7dx11_dtc4,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx14_idle_error2,7dx14-15_uk10,7dx16_dtc5,7dx17_uk11,7dx18_uk12,7dx19_uk13,7dx1A_uk14,7dx1B_uk15,7dx1C_uk16,7dx1D_uk17,7dx1E_uk18,7dx1F_uk19,0x7d_raw,0x80_raw,engine_running,warming,at_operating_temp,engine_idle,idle_fault,idle_speed_fault,idle_error_fault,idle_hot_fault,cruising,closed_loop,closed_loop_expected,closed_loop_fault,throttle_active,map_fault,vacuum_fault,iac_fault,iac_range_fault,iac_jack_fault,o2_system_fault,lambda_range_fault,lambda_oscillation_fault,thermostat_fault,crankshaft_sensor_fault,coil_fault
11:31:29.634,0,11,200,13,200,100.00,13.40,0.90,false,true,true,0,0,32,0,144,1225,0,4.00,5.18,0,0,0,true,16,0,14.60,0,435,255,255,1,false,0,0,0,255,107,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D20101AFF920057FFFF0100806400FF6BFFFF30807B37FF19401EC0264034C008,801C000042FF44FF64862D001001000000208B9004C900380A1D000000,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:30.146,0,11,200,13,200,100.00,13.40,0.90,false,true,true,0,0,32,0,144,1225,0,4.00,5.18,0,0,0,true,16,0,14.60,0,435,255,255,1,false,0,0,0,255,107,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D20101AFF920057FFFF0100806400FF6BFFFF30807B37FF19401EC0264034C008,801C000042FF44FF64862D001001000000208B9004C900380A1D000000,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:30.625,0,11,200,13,200,100.00,13.40,0.90,false,true,true,0,0,32,0,144,1225,0,4.00,5.18,0,0,0,true,16,0,14.60,0,435,255,255,1,false,0,0,0,255,107,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D20101AFF920057FFFF0100806400FF6BFFFF30807B37FF19401EC0264034C008,801C000042FF44FF64862D001001000000208B9004C900380A1D000000,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:31.137,0,11,200,13,200,100.00,13.40,0.90,false,true,true,0,0,32,0,144,1225,0,4.00,5.18,0,0,0,true,16,0,14.60,0,435,255,255,1,false,0,0,0,255,107,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D20101AFF920057FFFF0100806400FF6BFFFF30807B37FF19401EC0264034C008,801C000042FF44FF64862D001001000000208B9004C900380A1D000000,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:31.633,0,11,200,13,200,100.00,13.40,0.90,false,true,true,0,0,32,0,144,1225,0,4.00,5.18,0,0,0,true,16,0,14.60,0,435,255,255,1,false,0,0,0,255,107,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D20101AFF920057FFFF0100806400FF6BFFFF30807B37FF19401EC0264034C008,801C000042FF44FF64862D001001000000208B9004C900380A1D000000,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:32.161,0,11,200,13,200,99.00,13.20,0.90,false,true,true,0,0,32,0,144,1225,0,4.00,5.48,0,0,0,true,16,0,14.60,0,405,255,255,1,false,0,0,0,255,107,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D20101AFF920051FFFF0100806400FF6BFFFF30807B37FF19401EC0264034C008,801C000042FF44FF63842D001001000000208B9004C900380AB3000000,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:32.657,180,11,200,13,200,96.00,12.40,0.90,false,true,true,0,0,32,0,144,1021,0,4.00,6.17,16,0,0,true,16,0,14.60,0,430,255,255,1,false,0,0,0,255,107,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D20101AFF920056FFFF0100806400FF6BFFFF30807D3FFF19401EC0264034C008,801C00B442FF44FF607C2D001001000000208B9003FD00380C0F100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:33.184,1264,11,200,13,200,61.00,11.90,0.90,false,true,true,0,0,32,0,144,142,0,12.00,3.92,16,0,0,true,16,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D20101AFF920057FFFF0100806400FF69FFFF308080B4FF19401EC0264034C008,801C04F042FF44FF3D772D001001000000208B90008E004807A9100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:33.744,1428,11,200,13,200,72.00,12.00,1.34,true,true,true,0,0,32,0,141,516,0,12.00,3.89,16,0,0,true,47,0,14.60,0,455,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D20104FFF92005BFFFF0100806400FF69FFFF30808687FF19401EC0264034C008,801C059442FF44FF487843081001000000208B8D020400480799100000,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
11:31:34.208,2233,11,200,13,200,27.00,12.10,0.78,false,true,true,0,0,32,0,113,603,0,9.50,3.43,16,0,0,true,12,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201014FF920057FFFF0100806400FF69FFFF3080801FFF19401EC0264034C008,801C08B942FF44FF1B7927001001000000208B71025B004306B4100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:34.688,931,11,200,13,200,44.00,12.40,0.78,false,true,true,0,0,32,0,122,298,0,22.00,3.35,16,0,0,true,13,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201016FF920057FFFF0100806400FF69FFFF30807F5FFF19401EC0264034C008,801C03A342FF44FF2C7C27001001000000208B7A012A005C0689100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:35.199,1215,11,200,13,200,44.00,12.60,0.82,false,true,true,0,0,32,0,129,7,0,14.00,3.28,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF30807FE2FF19401EC0264034C008,801C04BF42FF44FF2C7E29001001000000208B810007004C0667100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:35.696,1220,11,200,13,200,45.00,12.80,0.82,false,true,true,0,0,32,0,129,6,0,14.00,3.27,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF30807FEAFF19401EC0264034C008,801C04C442FF44FF2D8029001001000000208B810006004C0664100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:36.191,1222,11,200,13,200,45.00,13.00,0.82,false,true,true,0,0,32,0,129,12,0,15.50,3.27,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF30807FF7FF19401EC0264034C008,801C04C642FF44FF2D8229001001000000208B81000C004F0665100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:36.692,1230,11,200,13,200,44.00,13.10,0.82,false,true,true,0,0,32,0,129,3,0,16.00,3.28,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF30807FF7FF19401EC0264034C008,801C04CE42FF44FF2C8329001001000000208B81000300500668100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:37.183,1218,11,200,13,200,44.00,13.20,0.82,false,true,true,0,0,32,0,129,0,0,17.50,3.30,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF30807FF1FF19401EC0264034C008,801C04C242FF44FF2C8429001001000000208B81000000530670100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:37.694,1197,11,200,13,200,43.00,13.30,0.82,false,true,true,0,0,32,0,129,27,0,17.00,3.32,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF30808004FF19401EC0264034C008,801C04AD42FF44FF2B8529001001000000208B81001B0052067A100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:38.191,1207,11,200,13,200,44.00,13.40,0.82,false,true,true,0,0,32,0,129,12,0,14.00,3.30,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF30808007FF19401EC0264034C008,801C04B742FF44FF2C8629001001000000208B81000C004C0670100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:38.691,1217,11,200,13,200,45.00,13.40,0.82,false,true,true,0,0,32,0,129,11,0,14.00,3.28,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF30808008FF19401EC0264034C008,801C04C142FF44FF2D8629001001000000208B81000B004C0668100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:39.197,1205,11,200,13,200,44.00,13.50,0.82,false,true,true,0,0,32,0,129,2,0,12.00,3.27,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF30807FF9FF19401EC0264034C008,801C04B542FF44FF2C8729001001000000208B81000200480662100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:39.700,1217,11,200,13,200,44.00,13.50,0.82,false,true,true,0,0,32,0,129,15,0,15.00,3.27,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF30807FF1FF19401EC0264034C008,801C04C142FF44FF2C8729001001000000208B81000F004E0664100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:40.192,1203,11,200,13,200,45.00,13.60,0.82,false,true,true,0,0,32,0,129,16,0,14.00,3.26,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF30807FF6FF19401EC0264034C008,801C04B342FF44FF2D8829001001000000208B810010004C0660100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:40.701,1214,11,200,13,200,44.00,13.60,0.82,false,true,true,0,0,32,0,129,42,0,18.00,3.28,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF30807FF6FF19401EC0264034C008,801C04BE42FF44FF2C8829001001000000208B81002A00540668100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:41.213,1190,11,200,13,200,45.00,13.60,0.82,false,true,true,0,0,32,0,129,10,0,12.00,3.26,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF30807FF8FF19401EC0264034C008,801C04A642FF44FF2D8829001001000000208B81000A0048065E100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:41.693,1219,11,200,13,200,44.00,13.70,0.82,false,true,true,0,0,32,0,129,5,0,12.00,3.25,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF30807FF7FF19401EC0264034C008,801C04C342FF44FF2C8929001001000000208B8100050048065A100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
11:31:49.195,1220,11,200,13,200,44.00,13.70,0.82,false,true,true,0,0,32,0,129,9,0,11.50,3.24,16,0,0,true,14,0,14.60,0,435,255,255,1,false,0,0,0,255,105,0,255,0,128,0,0,255,0,0,0,0,0,0,0,0,8,7D201017FF920057FFFF0100806400FF69FFFF3080801CFF19401EC0264034C008,801C04C442FF44FF2C8929001001000000208B81000900470655100000,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
